User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
DrScott,@drscott_atlanta,2020-01-31T23:32:53.000Z,"We doctors were on Capitol Hill the night #ObamaCare
passed by hook & by crook
@SpeakerPelosi
 locked arms with her co-conspirators & walked triumphantly through our crowd hoping to provoke us

Today is SO SWEET
#Brexit
@realDonaldTrump
https://twitter.com/luluHru/status/1222345393499000832/video/1¶",408,1.4K,2K
don'tworry behappy,@warmthinurheart,2020-02-01T23:53:08.000Z,Too bad Nancy,2,18,38
Ilhan Omar,@IlhanMN,2020-02-01T23:53:35.000Z,"It's about racism. Plain and simple.Quote Tweet
The Washington Post
@washingtonpost
 ∑ Jan 30, 2020
Opinion: Trump's anti-immigrant agenda isn't about rule of law or economics at all https://wapo.st/2RHN1Ft",5K,4.9K,29.6K
"Hector Oseguera, Esq.",@Oseguera2020,2020-02-01T23:56:58.000Z,"@realDonaldTrump
's political existence is based on racism.",79,10,68
Chief Hostage Negotiator,@carrieitly,2020-02-01T23:59:22.000Z,"So he'll brave the rain for a round of golf, but not to pay homage to Americans and allies who sacrificed in WWI?So he'll brave the rain for a round of golf, but not to pay homage to Americans and allies who sacrificed in WWI?",2,3,42
She_Persisted,@Impeach_Cheeto,2020-02-01T23:52:24.000Z,"It was the Senate's responsibility to conduct a TRIAL 
@MarshaBlackburn
. You & your 
@GOP
 colleagues failed your sworn Constitutional duty. I know you haven't read this, but maybe someone will read it to you: https://senate.gov/artandhistory/history/resources/pdf/3_1986SenatesImpeachmentRules.pdf¶It was the Senate's responsibility to conduct a TRIAL 
@MarshaBlackburn
. You & your 
@GOP
 colleagues failed your sworn Constitutional duty. I know you haven't read this, but maybe someone will read it to you: https://senate.gov/artandhistory/history/resources/pdf/3_1986SenatesImpeachmentRules.pdf¶",1,,
She_Persisted,@Impeach_Cheeto,2020-02-01T23:55:38.000Z,"Senate Impeachment Rules, Section VI. 
""The Senate shall have power to compel the attendance of witnesses""",1,3,4
SCAREY,@SCmusic82,2020-02-01T16:53:55.000Z,"Where is:

Soros
Obama
HRC
Holder
Lynch
Kerry
Comey
Brennan 
Clapper
Strzok 
Page
Ohr
DWS
McCabe
Steele
Mifsud 
Simpson
Podesta

They attempted to remove our duly elected POTUS 
@realDonaldTrump
 

They are guilty of TREASON.  

RT to keep this fresh ",21,332,271
Tropical Punch,@TropicalPunch01,2020-02-01T23:57:49.000Z,And none have had to face the Music like Trump has been for the past 3 years.,,,
Karen Marie Resists--Biden-HarrisWON,@marie5483,2020-02-01T23:53:37.000Z,"How does the man being tried get to block subpoenas, witnesses & documents from his own trial? Why is the WH counsel, Pat Cippolone, part of the conspiracy while trying the case? It's a sham trial with a sham result! #SenateGOPCoverup 
#DisbarCipollone #ShamTrialShamAcquittalHow does the man being tried get to block subpoenas, witnesses & documents from his own trial? Why is the WH counsel, Pat Cippolone, part of the conspiracy while trying the case? It's a sham trial with a sham result! #SenateGOPCoverup 
#DisbarCipollone #ShamTrialShamAcquittal",,2,4
