User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
just my opinion - T Watts,@justmyo90018415,2019-02-01T19:11:08.000Z,"International relations r a mess,  spending is out of control, more taxes and taxes coming, buying media to diminish free speech, investors fleeing Canada, unethical practices,  killed pipelines,  no environmental plan.  Not good stuff.",1,2,3
Katy Kydd Wright,@KatyKydd,2019-02-01T18:55:54.000Z,"@GlobalFund
 ED 
@PeterASands
 in #YOW So critical we invest or we will see #HIV #tuberculosis & #malari resurge - AT LEAST $14bn needed. Hope 
@JustinTrudeau
 lives up to his ldshp in '16 when Cda hosted & invests heavily to end  the 3 diseases #cdnpoli 
@GFadvocatesQuote Tweet
The West Block
@TheWestBlock
 ∑ Feb 1, 2019
Call to action to fight disease...what more can Canada and the west do?  And have we reached a critical stage in fighting these diseases?  For the full interview:
https://youtu.be/VrWNos6muyA
0:38
304 views",,6,5
Elodie Mainze,@EMainze,2019-02-01T14:48:43.000Z,Why isn't there a 'white history' month?  That you need to ask this question shows you need to study more of history in general.  Just about ALL of the history we learn is about us!! Look at the people we've been taught about in history classes...just about all of them are white.Why isn't there a 'white history' month?  That you need to ask this question shows you need to study more of history in general.  Just about ALL of the history we learn is about us!! Look at the people we've been taught about in history classes...just about all of them are white.,1,1,12
Northern500,@northern500,2019-02-01T21:42:49.000Z,Heroic yet meek PM vows to finally rid all   worldwide plastic pollution by totally shutting in the Canadian oil industry just like the UN told him to.Heroic yet meek PM vows to finally rid all   worldwide plastic pollution by totally shutting in the Canadian oil industry just like the UN told him to.,1,2,8
Jessa,@JessaMcLeanNDP,2019-02-01T23:05:27.000Z,"Corporate welfare at its dirtiest. 
@JustinTrudeau
 penny pinches when it comes to pharmacare and affordable housing, but has no issues overpaying for a pipeline.

And don't get me started about fossil fuel subsidies...

#cdnpoli #YorkSimcoe #NDP",,15,27
Spirit Bear,@SpiritBear,2019-02-01T16:05:50.000Z,"Hi 
@JustinTrudeau
! 

Will you be attending our #HaveAHeartDay Parliament Hill event on February 14th? You can find all the info you need at http://haveaheartday.ca. 

We hope to see you there!",,10,19
Patt Olivieri,@pattolivieri,2019-02-01T23:56:33.000Z,"Dear 
@JustinTrudeau
 
I am forwarding this letter on behalf of my 9 year old son. 
With thanks.",1,7,17
VictoriaL59,@Victoria59L,2019-02-01T16:32:34.000Z,Another example.,1,6,9
Braeden Caley,@braedencaley,2019-02-01T17:17:56.000Z,". 
@JustinTrudeau
 speaking with supporters in #Toronto about the hope and hard work we'll need in these next 8 months, to keep fighting for Canadian families and a strong middle class. 
 #TeamTrudeauLiberal Party and 2 others",5,15,32
Dr. Jennifer Jackson PhD RN,@JJackson_RN,2019-02-01T17:29:34.000Z,"Gasp! Could it finally be happening? I am relieved Canada is extending coverage, but nervous about the 'limited' aspect. Don't cave to the insurance companies, 
@JustinTrudeau
. We need universal #pharmacare, full stop.Quote Tweet
Andr√© Picard
@picardonhealth
 ∑ Jan 31, 2019
Exclusive: Federal budget to include limited coverage for prescription drugs - sources  https://reuters.com/article/us-canada-pharmaceuticals-budget-exclusi-idUSKCN1PP2TL¶ via @Reuters @amp6 #pharmacare",,,5
Greg Felton,@FeltonGreg,2019-02-01T20:35:46.000Z,"Where's YOUR outrage, 
@JustinTrudeau
 @cathmckenna
 @globeandmail
 ?Quote Tweet
Sarah Wilkinson
@swilkinsonbc
 ∑ Feb 1, 2019
Where's the outrage? Inside less than 24 hours, israel has shot four Palestinian children with live ammunition and killed a young girl #BDS https://thecanary.co/global/world-analysis/2019/01/31/in-the-last-24-hours-the-israeli-military-has-shot-four-palestinian-children-with-live-ammunition-one-girl-has-died/amp/?utm_source=dlvr.it&utm_medium=twitter&__twitter_impression=true¶",1,4,5
KAIROS Canada,@kairoscanada,2019-02-01T18:43:16.000Z,"In response to KAIROS' urgent action, 
@NationalBishop
, Archbishop Fred Hiltz and Bishop Mark MacDonald sent the attached joint letter to PM 
@JustinTrudeau
 . Read the letter here: http://elcic.ca/news.cfm?article=514¶
#OmbudspersonELCIC and Justin Trudeau",,6,8
