User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Moe Davis,@ColMorrisDavis,2019-02-01T23:40:52.000Z,".
@RalphNortham
 should resign for what he did 35 years ago ... provided all of the 
@GOP
 office holders who more recently did offensive things and then acted upon them go first!  
@realDonaldTrump
 @senatemajldr 
@SteveKingIAQuote Tweet
NBC Politics
@NBCPolitics
 ∑ Feb 1, 2019
In the statement, Gov. Northam gives no indication that he will resign over the photo, and does not clarify if he is the person seen in blackface vs. the person seen in the KKK costume, or provide other context for the circumstances of the photo.
Show this thread",41,126,345
Spencer Leone,@SpencerLeone,2019-02-01T23:55:09.000Z,"@GovernorVA
 Ditto. I regret to inform you, 
@TheDemocrats
 will not accept your resignation. Those that seek redemption & forgiveness have to allowed to find it, esp through public service. 
@GOP
 has propped up 
@POTUS
 @SteveKingIA
 and others that dont own their conduct. @OfficialCBC",,2,6
"Andr√©s Diaz
(Fantasma Verde Group)",@fvgsocial,2019-02-01T23:57:54.000Z,Will we find out his blood type is Ragu?Will we find out his blood type is Ragu?,,1,4
Elizabeth Warren,@ewarren,2019-02-01T20:01:06.000Z,"While 
@realDonaldTrump
 brags about his ""nuclear button,"" his admin keeps increasing the risk of nuclear war. The White House wants billions to upgrade nukes, the national security advisor hates arms control treaties, & we just began withdrawing from one.U.S. Suspends Nuclear Arms Control Treaty With Russia (Published 2019)
Secretary of State Mike Pompeo acknowledged a risk of a new arms race after the suspension of a 1987 treaty banning the deployment of intermediate-range missiles.
nytimes.com",104,555,1.4K
Bonnie Lambert,@bonnie_lambert,2019-02-01T23:55:24.000Z,pretty sure tRump and Putin agreed on this long ago because they both want to build more nukes (and probably have financial reasons. ),1,,1
Jason Overstreet,@JasonOverstreet,2019-02-01T23:55:46.000Z,"You couldn't write this if it meant staying out of prison. You are the very antithesis of the spirit of #BlackHistoryMonth
Å†. In fact, for centuries to come you will be held up as the Birther Racist who tried to destroy the most celebrated Black American in history: 
@BarackObama
!You couldn't write this if it meant staying out of prison. You are the very antithesis of the spirit of #BlackHistoryMonth
Å†. In fact, for centuries to come you will be held up as the Birther Racist who tried to destroy the most celebrated Black American in history: 
@BarackObama
!",2,6,49
Sister Bonjela (Yer Ma),@sisterbonjela,2019-02-01T23:52:29.000Z,Saying JOBS three times makes Steve Jobs appear? Cool.Saying JOBS three times makes Steve Jobs appear? Cool.,,1,3
I.M. Peachy,@IMPeachy1331,2019-02-01T16:57:16.000Z,Stop pretending to care about the babies... and stay on topic...Stop pretending to care about the babies... and stay on topic...,1,,15
Ellyn Stein,@EllyninNYC,2019-02-01T23:53:53.000Z,Late term abortions are only done in cases of dire health consequences or non viable fetus. No one chooses to abort a viable fetus at 8-9 months. Get the facts and stop believing the bull.,1,,7
Kathy Buckley,@kathyb5783,2019-02-01T23:59:34.000Z,I look forward to the rebuttal and fact checking.I look forward to the rebuttal and fact checking.,,1,55
Viking Bride,@Viking_Bride,2019-02-01T23:57:02.000Z,"Wow! That's amazing! All those part-time, no-healthcare, low-pay ""opportunities"" while corporations get to pay less/no tax.Wow! That's amazing! All those part-time, no-healthcare, low-pay ""opportunities"" while corporations get to pay less/no tax.",,1,7
EBM,@lainebee23,2019-02-01T23:54:54.000Z,I must say if Trump actually wins in 2020 we will no longer be a republic..... or should I say we will no longer deserve to be a republic....I must say if Trump actually wins in 2020 we will no longer be a republic..... or should I say we will no longer deserve to be a republic....,1,,8
Lindsey McBride,@Lindsey_McBride,2019-02-01T23:56:28.000Z,"Total BS from 
@realDonaldTrump
.
Trump said, hundreds of times, that #Mexico would pay for the wall. End of discussion. 
@POTUS
 @WhiteHouse
 @PressSecTotal BS from 
@realDonaldTrump
.
Trump said, hundreds of times, that #Mexico would pay for the wall. End of discussion. 
@POTUS
 @WhiteHouse
 @PressSec",1,2,10
Sandy Hill,@SandyJoy1054,2019-02-01T23:56:32.000Z,I don't remember her absence...just the disrespect of Dems. Not looking forward to Nancy Pelosi sitting behind him. She could try to distract with facial features. They're all so disrespectful...I don't remember her absence...just the disrespect of Dems. Not looking forward to Nancy Pelosi sitting behind him. She could try to distract with facial features. They're all so disrespectful...,2,,2
