Justin,Moving Average,class
0.06400558139534884,-2.9936305732114477e-06,DOWN
0.038816309012875555,-1.232504361237119e-06,UP
0.020748319327731087,-4.95088339651506e-05,DOWN
0.007248868778280546,-8.298173576770651e-05,DOWN
0.09011212121212127,-8.427797227827938e-05,DOWN
0.02984424778761063,-0.00010706689593331653,DOWN
0.014313168724279807,-0.00012331827524558747,DOWN
-0.05948425531914892,-0.00013292554188493177,DOWN
0.057061135371179066,-0.0001243811930253802,UP
0.07972403433476397,-0.00011557743126422437,UP
0.0546111111111111,-0.00011409470059153826,UP
-0.06450445544554455,-0.00011089694676780226,UP
0.06725714285714289,-0.00011576670171442593,DOWN
-0.002271311475409831,-0.00011613050202763375,DOWN
0.007122077922077922,-0.00010853136030131161,UP
0.07399618644067799,-0.0001135678846315713,DOWN
0.036330901287553646,-0.00010944824168679368,UP
0.06355225225225224,-0.00010234808805087425,UP
0.058856034482758626,-8.316863554114207e-05,UP
0.08677066666666668,-8.774453160631523e-05,DOWN
0.05565866666666667,-8.469438978586652e-05,UP
-0.03006575342465752,-0.00012725905733423915,DOWN
-0.017358064516129038,-0.00012465632148295214,UP
-0.039901709401709395,-0.00011180709752922624,UP
0.012736752136752153,-0.00010823446346064358,UP
0.024284313725490208,-0.00014884518172975092,DOWN
0.10729877049180327,-0.00015368962382611429,DOWN
-0.08460512820512818,-0.0001621492110115419,DOWN
0.1335524390243903,-0.00016125064664529454,UP
0.06442266666666668,-0.0001554823324840804,UP
0.037673600000000015,-0.0001515158282405782,UP
-0.004124463519313307,-0.0001227848861120595,UP
0.006292244897959181,-9.201168583805597e-05,UP
0.026882186234817806,-0.00010261037473680013,DOWN
0.026208510638297867,-0.00010250652003995775,DOWN
0.058925114155251146,-9.358134003978336e-05,UP
-0.04736610878661089,-0.00011659541220532255,DOWN
-0.01746075949367087,-0.00010682918477789016,UP
0.05746166666666668,-9.441890074990411e-05,UP
0.04611619433198381,-0.00011109272590692498,DOWN
0.0896438596491227,-0.00011172618856325478,DOWN
0.03150081632653061,-0.00011324935356782362,DOWN
-0.016868442622950817,-0.00012078677600868559,DOWN
-0.022859322033898285,-0.00013272694551180741,DOWN
0.021002597402597408,-0.0001149475603350325,UP
-0.06892369477911646,-0.00014404008402824076,DOWN
0.02084765957446809,-0.00014409091178602118,DOWN
0.020127600000000016,-0.0001267211955064962,UP
0.05786974789915964,-0.00013300552290940182,DOWN
0.009649557522123904,-0.00013847365818664414,DOWN
0.045155042016806736,-0.00013204539812883276,UP
0.1099948717948718,-8.904525354869186e-05,UP
0.03283377777777779,-9.315657439734615e-05,DOWN
0.05438033472803351,-8.397454709041519e-05,UP
0.06960044642857145,-6.972622050716026e-05,UP
-0.010925000000000002,-4.1574226174345696e-05,UP
0.071832905982906,-4.125074137761864e-05,UP
0.02339449152542372,-4.9176694430608237e-05,DOWN
-0.04017325102880659,-4.800097247370516e-05,UP
0.0765169642857143,-5.644682924943467e-05,DOWN
-0.03771447963800907,-6.77320304300899e-05,DOWN
0.0443259911894273,-8.608320230774069e-05,DOWN
0.007673191489361696,-7.813389274624605e-05,UP
0.0016624999999999973,-7.492327525349118e-05,UP
0.05698982300884956,-7.216874252957695e-05,UP
-0.006130516431924882,-7.286247264892687e-05,DOWN
-0.006351674641148306,-7.731195522020506e-05,DOWN
0.0297130890052356,-8.833962415266683e-05,DOWN
0.06158849557522121,-6.223026229235096e-05,UP
0.06630728155339805,-4.368812769905972e-05,UP
0.014751184834123236,-4.424963047711117e-05,DOWN
0.039955555555555564,-5.404501381933713e-05,DOWN
-0.06031610169491523,-5.8204106132109246e-05,DOWN
0.0006165938864628821,-4.750918859652842e-05,UP
0.023689814814814827,-4.203941411051737e-05,UP
-0.08686457399103138,-6.766986183648349e-05,DOWN
0.0692564655172414,-6.786836546113229e-05,DOWN
0.012877083333333332,-7.873502671773558e-05,DOWN
0.03925486725663714,-6.905752663244336e-05,UP
0.02467314814814816,-6.829619693005107e-05,UP
0.025443842364532024,-6.16774192325753e-05,UP
0.08868309178743962,-5.670392426693205e-05,UP
-0.018440090090090098,-5.875263788390761e-05,DOWN
0.00846697674418604,-7.741903075686452e-05,DOWN
-0.07861509433962266,-7.217247333435317e-05,UP
-0.03173521126760563,-7.538211513891113e-05,DOWN
0.04041189189189188,-5.6447777192492055e-05,UP
-0.023248768472906408,-7.489858044973374e-05,DOWN
0.023071563981042653,-7.010590981160192e-05,UP
-0.10188219178082189,-5.844952156364158e-05,UP
0.04507245762711863,-6.157547850138556e-05,DOWN
-0.030757727272727266,-6.405453748703493e-05,DOWN
-0.08773571428571424,-5.607984150790557e-05,UP
0.10467678571428571,-5.166557449665099e-05,UP
0.00725454545454547,-5.3571098144633567e-05,DOWN
0.016975949367088603,-6.473806916984515e-05,DOWN
-0.08073966244725736,-3.806692882202256e-05,UP
-0.022212499999999996,-1.7531683825788846e-05,UP
0.006780180180180174,-2.183890776263908e-05,DOWN
-0.003912162162162168,-2.9508210604323182e-05,DOWN
-0.04124796380090497,-2.7248630315668265e-05,UP
0.03085702479338843,-2.9486692002533843e-05,DOWN
-0.03715296803652968,-5.0188963684139054e-05,DOWN
0.07201315789473685,-3.429664214382733e-05,UP
0.05200189573459717,-2.4187417168697323e-05,UP
0.03353150684931507,-4.054350819671093e-05,DOWN
0.14280132158590303,-2.353540785238195e-05,UP
0.02829683257918553,-3.0689753687029864e-05,DOWN
-0.021313274336283192,-2.3330869121318543e-05,UP
0.013129145728643215,-2.2619624315156628e-05,UP
0.013313300492610846,-2.496796946060975e-05,DOWN
