file,run,accuracy
complete.csv,0,0.49790066564260116
complete.csv,1,0.48973374295954936
complete.csv,2,0.48645673323092675
complete.csv,3,0.526241679467486
complete.csv,4,0.4877624167946748
complete.csv,5,0.4973886328725038
complete.csv,6,0.5182283666154633
complete.csv,7,0.47695852534562205
complete.csv,8,0.5118279569892473
complete.csv,9,0.4976958525345623
complete.csv,10,0.5327188940092166
complete.csv,11,0.5072452636968766
complete.csv,12,0.488095238095238
complete.csv,13,0.534357398873528
complete.csv,14,0.4815412186379929
complete.csv,15,0.5121095750128009
complete.csv,16,0.4959293394777265
complete.csv,17,0.5201228878648234
complete.csv,18,0.5136456733230926
complete.csv,19,0.49951356886840764
complete.csv,20,0.5164618535586277
complete.csv,21,0.5263184843830006
complete.csv,22,0.4914234511008705
complete.csv,23,0.5152329749103942
complete.csv,24,0.5070148489503328
complete.csv,25,0.4799283154121864
complete.csv,26,0.5186635944700461
complete.csv,27,0.4974398361495135
complete.csv,28,0.48620071684587807
complete.csv,29,0.5055299539170507
complete2019.csv,0,0.4823588709677419
complete2019.csv,1,0.5495967741935484
complete2019.csv,2,0.513508064516129
complete2019.csv,3,0.5590725806451613
complete2019.csv,4,0.5560483870967742
complete2019.csv,5,0.4157258064516129
complete2019.csv,6,0.447883064516129
complete2019.csv,7,0.5492943548387096
complete2019.csv,8,0.4634072580645161
complete2019.csv,9,0.45675403225806444
complete2019.csv,10,0.4692540322580644
complete2019.csv,11,0.4860887096774194
complete2019.csv,12,0.425
complete2019.csv,13,0.5076612903225807
complete2019.csv,14,0.5297379032258064
complete2019.csv,15,0.479233870967742
complete2019.csv,16,0.5016129032258064
complete2019.csv,17,0.5077620967741934
complete2019.csv,18,0.527016129032258
complete2019.csv,19,0.520665322580645
complete2019.csv,20,0.491733870967742
complete2019.csv,21,0.4307459677419355
complete2019.csv,22,0.498891129032258
complete2019.csv,23,0.4825604838709676
complete2019.csv,24,0.4730846774193548
complete2019.csv,25,0.4892137096774193
complete2019.csv,26,0.4244959677419355
complete2019.csv,27,0.476108870967742
complete2019.csv,28,0.472883064516129
complete2019.csv,29,0.5243951612903224
complete2020.csv,0,0.512399193548387
complete2020.csv,1,0.5283266129032258
complete2020.csv,2,0.5125
complete2020.csv,3,0.5224798387096774
complete2020.csv,4,0.470866935483871
complete2020.csv,5,0.5319556451612902
complete2020.csv,6,0.5253024193548387
complete2020.csv,7,0.5442540322580646
complete2020.csv,8,0.5219758064516128
complete2020.csv,9,0.5256048387096774
complete2020.csv,10,0.5252016129032258
complete2020.csv,11,0.5120967741935483
complete2020.csv,12,0.4904233870967742
complete2020.csv,13,0.4456653225806452
complete2020.csv,14,0.5253024193548388
complete2020.csv,15,0.4805443548387097
complete2020.csv,16,0.554133064516129
complete2020.csv,17,0.5316532258064516
complete2020.csv,18,0.490524193548387
complete2020.csv,19,0.5352822580645162
complete2020.csv,20,0.4645161290322581
complete2020.csv,21,0.5186491935483871
complete2020.csv,22,0.4998991935483871
complete2020.csv,23,0.5348790322580644
complete2020.csv,24,0.4961693548387096
complete2020.csv,25,0.5005040322580645
complete2020.csv,26,0.5154233870967742
complete2020.csv,27,0.47883064516129037
complete2020.csv,28,0.5164314516129032
complete2020.csv,29,0.4960685483870968
NoTrudeau.csv,0,0.4673579109062979
NoTrudeau.csv,1,0.4479006656426011
NoTrudeau.csv,2,0.5025601638504864
NoTrudeau.csv,3,0.5198668714797747
NoTrudeau.csv,4,0.4769073220686124
NoTrudeau.csv,5,0.493010752688172
NoTrudeau.csv,6,0.5230670762928826
NoTrudeau.csv,7,0.48635432667690726
NoTrudeau.csv,8,0.4992063492063491
NoTrudeau.csv,9,0.48975934459805426
NoTrudeau.csv,10,0.4751408090117767
NoTrudeau.csv,11,0.48179723502304145
NoTrudeau.csv,12,0.496236559139785
NoTrudeau.csv,13,0.5007168458781364
NoTrudeau.csv,14,0.4751920122887864
NoTrudeau.csv,15,0.435483870967742
NoTrudeau.csv,16,0.5153097798259089
NoTrudeau.csv,17,0.4642345110087046
NoTrudeau.csv,18,0.4929595494111624
NoTrudeau.csv,19,0.531131592421915
NoTrudeau.csv,20,0.5042754736303123
NoTrudeau.csv,21,0.4705581157194061
NoTrudeau.csv,22,0.5006912442396313
NoTrudeau.csv,23,0.4431899641577061
NoTrudeau.csv,24,0.5215309779825908
NoTrudeau.csv,25,0.49278033794162823
NoTrudeau.csv,26,0.5373015873015873
NoTrudeau.csv,27,0.48315412186379925
NoTrudeau.csv,28,0.46902201740911414
NoTrudeau.csv,29,0.5166154633896569
NoTrudeau2019.csv,0,0.520766129032258
NoTrudeau2019.csv,1,0.4795362903225806
NoTrudeau2019.csv,2,0.5880040322580646
NoTrudeau2019.csv,3,0.5075604838709677
NoTrudeau2019.csv,4,0.4341733870967742
NoTrudeau2019.csv,5,0.4856854838709677
NoTrudeau2019.csv,6,0.4893145161290322
NoTrudeau2019.csv,7,0.5143145161290323
NoTrudeau2019.csv,8,0.4695564516129032
NoTrudeau2019.csv,9,0.5014112903225806
NoTrudeau2019.csv,10,0.4955645161290323
NoTrudeau2019.csv,11,0.514516129032258
NoTrudeau2019.csv,12,0.5205645161290322
NoTrudeau2019.csv,13,0.4821572580645161
NoTrudeau2019.csv,14,0.5041330645161289
NoTrudeau2019.csv,15,0.4669354838709676
NoTrudeau2019.csv,16,0.5592741935483871
NoTrudeau2019.csv,17,0.488508064516129
NoTrudeau2019.csv,18,0.5946572580645161
NoTrudeau2019.csv,19,0.4726814516129032
NoTrudeau2019.csv,20,0.5080645161290323
