Justin,Moving Average,class
0.1057042016806723,-0.0001329373134224543,UP
-0.017744999999999993,-0.00012990248121402814,UP
-0.003441322314049588,-0.00012515756885367324,DOWN
0.054346215139442225,-0.00012733859570412953,DOWN
0.0013513944223107774,-0.00013505407788350077,UP
0.0491547169811321,-0.00012280868273095713,UP
-0.06386610878661084,-0.00011123922832756428,UP
-0.12309145299145292,-0.00010228623715446972,DOWN
-0.024881735159817342,-0.00010629169499787317,UP
0.03323925619834713,-0.0001004754794087237,DOWN
-0.04771893004115228,-0.00010340390144891742,UP
-0.15025555555555567,-9.953955781361046e-05,DOWN
0.03802663755458515,-0.00010801236176960494,UP
0.10467935222672066,-0.0001072543606175369,UP
-0.020139669421487604,-9.961979258998888e-05,UP
-0.06720436681222705,-9.920699070287142e-05,DOWN
0.126555601659751,-0.00010497384742036431,UP
0.07665818965517239,-9.5594949817146e-05,UP
0.06154775510204085,-7.353891494510378e-05,DOWN
0.028352244897959167,-7.789070184016644e-05,UP
0.05081927710843375,-7.273818368158658e-05,UP
0.0068514893617021245,-6.667850793729002e-05,UP
-0.010425106382978734,-5.805851268902984e-05,DOWN
0.008455645161290316,-6.548507793535663e-05,UP
-0.00029795081967214337,-5.4416654120315044e-05,UP
0.031751914893617034,-4.9721059680374324e-05,UP
0.006917872340425511,-4.230156585949274e-05,UP
0.02022875536480687,-4.003308953537399e-05,UP
0.0035196506550218315,-2.277183765775348e-05,DOWN
0.07558122270742364,-2.6712054735256174e-05,UP
-0.0035629629629629635,-2.5576029083262952e-05,UP
-0.004439919354838683,-2.5176105423740935e-05,UP
0.07733960000000004,-1.958637260379703e-05,UP
0.07695889830508475,-1.7231001990580808e-05,UP
0.010927160493827161,-1.5201603895009796e-05,DOWN
0.008853418803418828,-2.403854146204587e-05,DOWN
-0.003775319148936169,-3.475816394149511e-05,UP
-0.07532768595041323,-3.146275577625701e-05,DOWN
-0.09592222222222219,-3.693580432484467e-05,DOWN
-0.030210822510822508,-3.796467118988289e-05,DOWN
-0.047612916666666665,-4.026414675939449e-05,UP
-0.07251416309012873,-3.478559852121421e-05,DOWN
0.010825531914893608,-4.4929593430609316e-05,UP
