Moving Average,class
-4.964748082647574e-05,UP
-6.952121496395236e-05,DOWN
-5.882210281438205e-05,UP
-5.1851331786423316e-05,UP
-5.907473518829143e-05,DOWN
-5.130698125466182e-05,UP
-4.767224564550254e-05,UP
-4.245672893965491e-05,UP
-4.0761006872891414e-05,UP
-7.671399729680672e-05,DOWN
-7.497286991697827e-05,UP
-9.533919835691407e-05,DOWN
-9.401646205620118e-05,UP
-9.352596376954736e-05,UP
-0.00010052110401215231,DOWN
-8.803536801216261e-05,UP
-7.91244273499192e-05,UP
-5.540110114798935e-05,UP
-7.767689381932286e-05,DOWN
-6.889448332958459e-05,UP
-6.854768561193048e-05,UP
-5.033575030743975e-05,UP
-6.265952180339873e-05,DOWN
-6.175933224361607e-05,UP
-5.94925827777093e-05,UP
-6.150056818299277e-05,DOWN
-6.783336892102199e-05,DOWN
-6.172561933848186e-05,UP
-5.8344327557247055e-05,UP
-6.535596982604197e-05,DOWN
-6.836439030455388e-05,DOWN
-6.623584129061832e-05,UP
-7.385929402548008e-05,DOWN
-3.840114340736278e-05,UP
-3.550814613539899e-05,UP
-4.600015840905414e-05,DOWN
-4.5121177012719116e-05,UP
-4.561442167205776e-05,DOWN
-4.0118834341962284e-05,UP
-3.540508009214349e-05,UP
-5.051525499655263e-05,DOWN
-7.83480089616706e-05,DOWN
-7.730231466540616e-05,UP
-6.938096971431662e-05,UP
-7.594345070249808e-05,DOWN
-7.602006391671523e-05,DOWN
-9.752955415920361e-05,DOWN
-0.00010158200780829851,DOWN
-9.810563198708877e-05,UP
-0.00011196516819111935,DOWN
-0.0001093792918591685,UP
-0.00011511375271333613,DOWN
-0.00011611657515686602,DOWN
-0.00012090601281533608,DOWN
-0.00011752733124592574,UP
-0.00011986004675157425,DOWN
-0.00010833183004232971,UP
-8.41014738954815e-05,UP
-8.306930359669451e-05,UP
-9.191303192901401e-05,DOWN
-9.09196783240862e-05,UP
-8.722248189640958e-05,UP
-8.646699628522825e-05,UP
-7.600054088308106e-05,UP
-7.938907419235974e-05,DOWN
-6.27349688606671e-05,UP
-6.228039889610848e-05,UP
-5.982090717981947e-05,UP
-5.880236925892568e-05,UP
-5.374248910205992e-05,UP
-5.4335665888194384e-05,DOWN
-6.314351408609475e-05,DOWN
-6.198700607940033e-05,UP
-6.733099650602092e-05,DOWN
