Trump,class
-0.04349259259259259,DOWN
0.1161911764705882,UP
0.033346153846153845,DOWN
0.06880454545454545,DOWN
-0.12919999999999995,DOWN
-0.18696944444444444,DOWN
-0.16608888888888892,DOWN
0.16659512195121953,DOWN
-0.019005882352941185,UP
0.004580487804878044,UP
-0.09392564102564104,UP
-0.11995135135135135,UP
0.00371388888888889,DOWN
-0.0912837837837838,DOWN
0.009894285714285722,UP
-0.09255714285714285,DOWN
0.07421219512195121,UP
-0.04362558139534883,UP
-0.0618794871794872,UP
-0.04895675675675675,DOWN
-0.033536111111111135,UP
0.13045,DOWN
-0.12145588235294115,UP
0.08691224489795919,UP
0.14374857142857142,UP
0.05650500000000001,DOWN
-0.11698499999999998,DOWN
-0.07091395348837211,DOWN
-0.06829782608695653,UP
0.07646764705882353,UP
-0.1305695652173913,UP
0.17746315789473685,UP
0.026812820512820516,UP
0.03481707317073169,DOWN
-0.0711272727272727,DOWN
0.14080243902439024,UP
0.051873469387755125,DOWN
-0.01344878048780486,UP
-0.060065116279069804,UP
-0.10262272727272727,DOWN
-0.03817187500000001,DOWN
-0.05494901960784313,DOWN
0.10381578947368421,DOWN
-0.23607352941176465,DOWN
-0.15244375,UP
0.1753452380952381,DOWN
0.036553488372093025,DOWN
0.03436153846153841,UP
-0.20545641025641023,DOWN
-0.2185975,DOWN
0.005242500000000006,UP
-0.15452857142857143,UP
-0.14430749999999998,DOWN
0.037550000000000014,UP
-0.006078947368421062,UP
0.09649722222222222,UP
-0.11356818181818182,UP
-0.08953846153846153,DOWN
-0.042666666666666665,UP
0.08903157894736843,DOWN
-0.09329756097560976,DOWN
-0.1701638888888889,DOWN
-0.003577272727272737,UP
0.046548648648648654,UP
-0.13518888888888891,UP
0.21118611111111107,DOWN
-0.04897575757575756,DOWN
-0.14577500000000002,DOWN
0.1338769230769231,UP
0.11743043478260871,UP
0.06593863636363637,DOWN
-0.12168571428571433,DOWN
-0.040197368421052634,DOWN
0.05833809523809523,UP
-0.050443749999999996,UP
0.15332727272727273,DOWN
0.042723529411764716,DOWN
0.06844418604651162,DOWN
0.10008823529411767,UP
0.03214193548387096,UP
-0.0953684210526316,UP
-0.03924999999999998,UP
-0.07717837837837836,DOWN
0.15221666666666667,DOWN
0.08022926829268295,UP
0.022460526315789493,DOWN
0.09645714285714285,UP
-0.049497727272727284,DOWN
-0.12830222222222223,UP
0.14024054054054053,UP
-0.0773642857142857,DOWN
0.03507631578947367,DOWN
-0.15582439024390243,UP
0.002960000000000003,UP
0.12918536585365856,DOWN
-0.07719999999999996,DOWN
-0.18673571428571428,UP
-0.08698837209302325,UP
-0.09664333333333332,DOWN
-0.005136363636363643,DOWN
-0.01481578947368421,UP
0.026525714285714312,DOWN
-0.019653658536585284,DOWN
0.051804651162790705,UP
-0.05007837837837836,UP
0.0685952380952381,DOWN
0.049104545454545456,UP
0.05481351351351351,DOWN
-0.09131749999999998,UP
-0.07731351351351354,UP
-0.05829166666666666,DOWN
-0.03278529411764705,DOWN
-0.02578536585365854,UP
0.012257142857142852,UP
-0.028486111111111084,DOWN
0.039073529411764694,DOWN
0.026764102564102565,UP
-0.0075627906976744015,UP
0.028204444444444438,DOWN
0.06866744186046513,DOWN
-0.07026000000000002,DOWN
0.1433342105263158,UP
-0.03759761904761905,UP
-0.10761562500000002,DOWN
0.1584945945945946,UP
-0.19714871794871794,DOWN
0.04377777777777777,UP
-0.06824523809523811,UP
-0.05736341463414634,UP
0.06458936170212766,DOWN
0.045463157894736844,UP
-0.014748648648648657,DOWN
0.019590624999999993,DOWN
-0.050087804878048786,UP
0.08189487179487182,DOWN
-0.0758521739130435,DOWN
0.10615365853658536,UP
0.045447058823529424,DOWN
0.056297368421052665,UP
-0.157675,UP
0.07175102040816325,DOWN
0.07554102564102565,UP
-0.01131794871794871,UP
-0.06649655172413793,UP
0.051003030303030314,DOWN
0.05919459459459458,DOWN
-0.04944324324324324,DOWN
-0.04366999999999998,UP
-0.10079333333333333,DOWN
0.039682352941176474,DOWN
-0.06172187500000002,DOWN
0.004247619047619037,DOWN
-0.029960869565217384,DOWN
0.11384146341463414,DOWN
0.16262857142857134,UP
0.06425641025641025,UP
0.017058333333333328,DOWN
0.11128809523809521,DOWN
0.22554473684210521,DOWN
-0.08907999999999999,UP
-0.11539750000000001,UP
0.0711046511627907,UP
-0.0926142857142857,UP
0.06018999999999999,DOWN
0.18124102564102565,DOWN
0.07061290322580645,DOWN
-0.18715714285714283,UP
-0.0214046511627907,UP
-0.10038974358974359,UP
0.014376315789473681,DOWN
-0.17330540540540537,DOWN
0.07979,UP
0.13343488372093024,DOWN
-0.17361470588235295,UP
0.061544736842105256,UP
0.07386923076923077,UP
0.16094186046511633,UP
0.18285384615384614,UP
-0.03680789473684209,UP
-0.08573333333333334,DOWN
0.07561944444444445,DOWN
-0.010462790697674435,UP
0.09496764705882352,UP
-0.03315000000000001,DOWN
-0.1435,UP
-0.12630555555555556,UP
-0.18999285714285719,UP
-0.02776585365853656,UP
-0.02393333333333332,DOWN
0.041276923076923086,DOWN
-0.07377209302325581,DOWN
0.059707500000000004,UP
-0.0005000000000000112,DOWN
-0.06500833333333332,UP
-0.05271666666666667,UP
0.011011627906976736,DOWN
-0.01630810810810811,UP
0.07079512195121951,UP
-0.11995000000000003,DOWN
0.0666945945945946,DOWN
-0.0024179487179487235,UP
-0.018046153846153844,DOWN
-0.03901666666666667,UP
0.07820540540540541,DOWN
-0.09864878048780487,UP
0.1048232558139535,UP
-0.14462045454545458,DOWN
0.0258,UP
0.02777209302325582,UP
-0.02574285714285714,UP
-0.04916571428571426,UP
-0.10618260869565219,DOWN
0.05018333333333331,UP
0.12622121212121212,DOWN
-0.0010055555555555573,UP
0.17923333333333336,UP
-0.19576388888888893,DOWN
-0.0689404255319149,UP
